"raw","name","norm","elevation"
"Żółta Turnia 2087","Żółta Turnia","zo ta turnia","2087"
"Koszysta 2193","Koszysta","koszysta","2193"
"Białka glacier","Białka glacier","bia ka glacier",
"Roztoka glacier","Roztoka glacier","roztoka glacier",
"Kasprowy Wierch 1987","Kasprowy Wierch","kasprowy wierch","1987"
"Kopa Magury 1704","Kopa Magury","kopa magury","1704"
"Giewont 1894","Giewont","giewont","1894"
"Nosal 1206","Nosal","nosal","1206"
"Gubałówka 1126","Gubałówka","guba owka","1126"
"Z A K O P A N E","Z A K O P A N E","z a k o p a n e",
"Pańszczyca glacier","Pańszczyca glacier","panszczyca glacier",
"Wielki Kopieniec 1328","Wielki Kopieniec","wielki kopieniec","1328"
"Bystrej glacier","Bystrej glacier","bystrej glacier",
"Toporowa Cyrhla","Toporowa Cyrhla","toporowa cyrhla",
"Olczyska Valley","Olczyska Valley","olczyska valley",
"Kuźnice","Kuźnice","kuznice",
